p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.96503363829959e-185	0.946642237503843	0.646	0.219	3.66242969506277e-181	0	Acyp2
3.63193554650585e-185	0.936899449977774	0.81	0.384	6.7692014715776e-181	0	Maged1
4.12935314660614e-185	0.919224664743486	0.483	0.108	7.69628839464453e-181	0	Grid2
2.86278266469321e-183	0.918054724631758	0.497	0.117	5.3356543304552e-179	0	Prelp
2.47854505965712e-182	0.86529928361561	0.533	0.138	4.61951228218893e-178	0	Snhg18
6.13960317618287e-182	0.83645801596895	0.585	0.175	1.14429923997696e-177	0	Adamts5
9.48632144531594e-182	0.759724119663902	0.931	0.542	1.76806059097798e-177	0	Cadm1
1.04680938905086e-181	1.33553689514985	0.547	0.151	1.951043339313e-177	0	Anxa1
2.04458947431436e-181	0.906020336940974	0.631	0.209	3.81070586222711e-177	0	Phactr1
4.94027222450563e-181	0.930755001582693	0.467	0.107	9.2076793720336e-177	0	Nav2
6.73253674183368e-181	0.950791931402363	0.703	0.271	1.25481019794296e-176	0	Shisa4
1.32090511729833e-180	0.867440743477136	0.562	0.158	2.46190295762062e-176	0	Bcat1
1.43918643283969e-180	0.890383426213294	0.43	0.085	2.68235567352662e-176	0	Slc7a2
1.83451337574199e-180	1.05695088776165	0.572	0.165	3.41916602970793e-176	0	Adamts1
2.28395365234765e-179	0.94109516340443	0.415	0.074	4.25683281724555e-175	0	BC055402
3.50527209943146e-179	0.879763016839718	0.451	0.095	6.53312613892035e-175	0	Chadl
5.30998896581362e-178	0.860210622425903	0.676	0.246	9.89675743448342e-174	0	Cntn1
2.9486020039977e-176	0.7578375669503	0.964	0.664	5.49560441505092e-172	0	Tmem59
1.01458057006259e-173	0.881205582937477	0.438	0.097	1.89097526648265e-169	0	Plscr1
1.15536614739655e-173	0.892449610224977	0.494	0.123	2.1533714255177e-169	0	Nkd1
7.2564890307174e-172	0.873283582306874	0.395	0.075	1.35246442554511e-167	0	Deptor
9.81259800087713e-172	0.887146129539555	0.549	0.161	1.82887201540348e-167	0	Mboat2
1.54875836388356e-171	0.877361728039082	0.425	0.088	2.88657583860618e-167	0	Pawr
1.65005975553288e-171	0.861708181837165	0.439	0.091	3.07538137236217e-167	0	F3
6.46259030347396e-171	0.828775143948893	0.63	0.218	1.20449758076148e-166	0	Dhrs7
8.94116439744638e-171	0.682522240034086	0.613	0.204	1.66645422039606e-166	0	Lrp1
4.66614660749455e-170	0.84020482395387	0.406	0.08	8.69676404704835e-166	0	Car5b
8.20724099367112e-170	0.89036660473671	0.49	0.125	1.52966557640042e-165	0	Cd302
6.67361240801435e-169	0.801430114333133	0.374	0.063	1.24382788060572e-164	0	Megf10
5.1663605354975e-168	0.827915907638387	0.446	0.1	9.62906276606024e-164	0	Tmem14a
8.84951027897488e-168	0.854923323457408	0.473	0.117	1.64937172579534e-163	0	Pygb
1.1533609733419e-166	0.826241921431607	0.432	0.092	2.14963418211462e-162	0	Begain
2.48020995056076e-166	0.73509547661944	0.564	0.172	4.62261530585514e-162	0	Itgav
2.07601175701812e-165	0.82479337444632	0.383	0.069	3.86927071273038e-161	0	Cyp2j6
